Title,Stage 1,Stage 2,Stage 2.7,Stage 3,Stage 4,Last Commit
regexp-v-flag,2021-01-28,2021-05-27,NA,2022-03-29,2023-05-16,2023-09-22
regex-match-indices,2018-07-11,2019-07-12,NA,2019-07-25,2021-06-10,2022-06-06
dynamic-import,NA,2016-10-07,NA,2016-12-01,2019-06-20,2019-06-20
hashbang-grammar,2018-03-21,2018-09-11,NA,2018-11-29,2022-07-20,2022-07-20
error-cause,2020-09-24,2020-11-19,NA,2021-03-10,2021-10-26,2021-10-26
dot-all,2016-11-30,2017-03-22,NA,2017-03-22,2017-12-19,2018-01-19
nullish-coalescing,2017-09-28,2019-06-05,NA,2019-07-23,2020-01-21,2022-11-24
private-methods,NA,2017-07-28,NA,2018-10-26,2021-06-10,2022-01-24
object-values-entries,NA,2015-09-24,NA,2015-11-17,2016-03-29,2016-03-29
nonblocking,2017-06-06,2017-09-26,NA,2020-08-28,2023-05-15,2021-03-31
string-padding,NA,NA,NA,2015-11-17,2016-05-25,2016-05-25
iterator-helpers,2019-01-31,2019-07-24,NA,2022-12-01,2024-10-08,2024-10-08
optional-catch,NA,NA,NA,2017-07-28,2018-05-22,2018-05-22
usv-string,2022-08-10,2022-09-13,NA,2022-11-30,2023-05-15,2023-05-15
array-includes,2014-07-23,2014-11-25,NA,2015-08-11,2015-11-17,2015-11-17
weakrefs,2016-04-01,2018-03-23,NA,2019-06-07,2020-12-16,2022-01-24
import-meta,NA,2017-05-25,NA,2017-09-28,2020-05-01,2020-05-01
object-from-entries,NA,2018-07-29,NA,2018-07-25,2019-01-29,2019-01-29
async-await,2014-04-09,2015-08-02,NA,2015-09-29,2015-10-08,2020-11-19
atomics,2015-09-24,2016-01-28,NA,2016-12-02,2017-02-09,2017-02-09
named-groups,NA,NA,NA,2017-03-22,2018-01-24,2018-01-24
globalThis,2015-11-19,2016-03-29,NA,2016-09-29,2019-10-01,2019-10-01
allsettled,2018-09-27,2019-01-30,NA,2019-03-27,2019-07-24,2019-12-09
for-in-mechanics,2019-05-25,2019-08-22,NA,2019-11-08,2020-02-11,2020-02-11
bigint,2017-01-27,2017-03-23,NA,2017-07-27,2019-09-30,2019-09-30
promise-any,2019-03-27,2019-07-24,NA,2019-10-04,2020-07-21,2020-08-10
import-attributes,2019-12-06,2020-06-04,NA,2020-09-22,2024-12-12,2024-12-12
symbol-description,2017-07-26,2018-01-25,NA,2018-05-22,2018-11-28,2018-11-28
object-rest-spread,2014-10-29,2015-08-25,NA,2016-09-29,2018-02-13,2022-01-24
lookbehind,NA,2016-12-06,NA,2017-03-22,2018-01-24,2018-01-26
change-array-by-copy,2021-04-20,2021-09-03,NA,2022-03-31,2023-03-05,2023-08-01
well-formed-stringify,NA,2018-05-23,NA,2018-09-26,2019-01-29,2019-01-29
unicode-escapes,2016-07-27,2016-09-28,NA,2017-03-22,2018-01-24,2023-03-21
async-iteration,2016-02-02,2016-03-31,NA,2016-09-30,2018-01-25,2018-02-12
array-grouping,2021-07-15,2021-10-27,NA,2023-08-01,2023-11-27,2023-11-27
json-modules,2019-12-06,2020-06-04,NA,2021-02-01,2024-10-08,2023-12-12
object-has,NA,2021-04-20,NA,2021-05-25,2021-08-31,2021-08-31
finally,NA,2016-07-29,NA,2017-07-26,2018-01-24,2018-01-29
private-fields-in-in,2020-04-01,2020-06-01,NA,2021-01-27,2021-07-15,2021-07-15
function-commas,NA,NA,NA,2015-11-16,2016-07-28,2016-07-28
await,2018-01-24,2018-05-22,NA,2019-06-06,2021-05-25,2021-05-28
logical-assignment,2018-03-25,2020-02-16,NA,2020-03-15,2020-07-21,2020-07-21
arraybuffer-transfer,NA,2022-12-02,NA,2023-02-01,2024-07-12,2024-07-12
matchall,2015-10-05,2017-09-28,NA,2018-01-24,2019-03-26,2018-12-11
chaining,2017-03-09,2019-06-05,NA,2019-07-25,2019-12-06,2022-01-24
find-last,2021-02-01,2021-03-11,NA,2021-07-14,2022-06-06,2022-06-06
at,NA,2020-09-08,NA,2020-09-23,2022-01-24,2022-01-24
symbols-weakmap,2020-06-02,2021-05-14,NA,2022-06-07,2023-01-30,2022-06-07
regexp-modifiers,2021-10-28,2021-12-16,NA,2022-10-18,2024-10-08,2024-10-08
function-to-string,2016-01-14,2016-03-16,NA,2016-03-31,2018-11-28,2018-11-28
flat,2017-07-28,2017-09-27,NA,2017-11-30,2019-01-29,2019-01-29
exponentiation,NA,2015-02-23,NA,2015-07-29,2022-01-24,2022-01-24
set-methods,NA,NA,NA,2022-11-30,2024-06-25,2024-07-06
object-gopds,NA,2016-01-27,NA,2016-01-29,2016-05-25,2016-07-30
template-literal-lift,2016-05-03,NA,NA,NA,2017-10-12,2022-01-24
named-capture-groups,NA,2022-06-07,NA,2022-08-01,NA,2023-03-11
numeric_separators,2017-05-27,2017-08-08,NA,2017-11-29,2020-07-23,2021-07-16
static-blocks,2018-07-10,2020-11-06,NA,2021-01-27,2021-08-31,2021-08-31
resizable,2020-07-19,2020-09-29,NA,2021-05-26,2023-10-24,2023-10-24
escape,2021-01-28,2023-09-26,NA,2024-07-29,2025-02-18,2025-02-18
try,2016-11-29,2024-03-26,2024-04-08,2024-07-03,2024-10-09,2024-10-09
promise-defer,2023-03-24,2023-05-18,NA,2023-07-12,2023-12-12,2023-12-12
json-superset,2017-09-27,2017-11-29,NA,2018-01-25,2018-05-22,2019-02-13
replace-all,2017-11-29,2019-03-27,NA,2019-10-03,2020-06-27,2021-02-19
trims,2016-04-29,2017-06-12,NA,2018-02-08,2019-12-30,2019-12-30
