Title,Stage 1,Stage 2,Stage 2.7,Stage 3,Stage 4,Last Commit,Classification
joint,2023-09-27,2024-02-08,2024-06-22,NA,NA,2024-10-28,API Change
sequencing,2023-09-27,2024-06-21,2024-10-08,NA,NA,2024-12-03,API Change
immutable-abs,2024-11-30,2024-12-05,2025-02-22,NA,NA,2025-02-22,API Change
shadowrealm,2017-01-30,2018-05-25,2025-02-10,NA,NA,2025-02-10,API Change
dynamic-code-brand-checks,2019-06-06,NA,NA,2024-04-15,NA,2024-12-05,API Change
resource-management,2018-07-24,2019-07-25,NA,2023-01-03,NA,2024-06-15,API Change
uint8array-base64,2023-04-06,2023-05-16,NA,2024-02-21,NA,2024-07-13,API Change
regexp-legacy,NA,2016-09-29,NA,2017-07-29,NA,2022-11-10,API Change
temporal,2017-05-03,2018-09-27,NA,2021-03-14,NA,2025-03-01,API Change
atomics-pause,2024-02-13,NA,2024-06-13,2024-10-18,NA,2024-10-18,API Change
math-sum,2023-12-24,2024-02-21,2024-04-09,2024-10-27,NA,2024-10-27,API Change
is-error,2024-04-10,2024-07-09,2024-10-15,2024-12-02,NA,2025-01-09,API Change
from-async,2021-09-02,2021-12-14,NA,2023-11-01,NA,2023-12-27,API Change
time-zone-canon,2023-04-01,2023-05-18,NA,2023-07-15,NA,2023-09-26,API Change
source-phase-imports,2021-12-18,2022-07-19,NA,2023-07-24,NA,2025-02-08,API Change
float16s,2023-02-18,2023-03-26,NA,2023-05-16,NA,2024-12-05,API Change
is-types,NA,NA,NA,NA,NA,2017-08-04,API Change
buffer-transfer,NA,NA,NA,NA,NA,2018-05-17,API Change
more-math,2016-07-27,NA,NA,NA,NA,2019-10-21,API Change
json-tryparse,NA,NA,NA,NA,NA,2024-04-23,API Change
shallow-equal,NA,NA,NA,NA,NA,2017-10-06,API Change
cancel-promise,2016-06-06,NA,NA,NA,NA,2016-12-15,API Change
pipe-flow,NA,NA,NA,NA,NA,2022-08-20,API Change
uuid,2019-10-03,NA,NA,NA,NA,2021-04-02,API Change
collection-json,NA,NA,NA,NA,NA,2016-04-01,API Change
distinguishing-literal-strings,NA,NA,NA,NA,NA,2017-11-17,API Change
function-helpers,NA,NA,NA,NA,NA,2021-11-11,API Change
typed-objects-new,NA,NA,NA,NA,NA,2018-11-06,API Change
symbol-thenable,NA,NA,NA,NA,NA,2018-05-12,API Change
simd,NA,NA,NA,NA,NA,2018-09-07,API Change
