Title,Stage 1,Stage 2,Stage 2.7,Stage 3,Stage 4,Last Commit,Classification
joint,2023-09-27,2024-02-08,2024-06-22,NA,NA,2024-10-28,Semantic Change
esm-phase,2024-02-13,2024-06-18,2024-12-05,NA,NA,2025-02-05,Semantic Change
lazy-import,2021-01-28,2023-07-18,2024-06-12,NA,NA,2025-02-26,Semantic Change
resource-management,2018-07-24,2019-07-25,NA,2023-01-03,NA,2024-06-15,Semantic Change
decorator-metadata,NA,2022-04-10,NA,2023-06-13,NA,2024-01-17,Semantic Change
redeclarable-global-eval-vars,NA,2024-02-13,2024-04-12,NA,NA,2024-04-19,Semantic Change
regexp-legacy,NA,2016-09-29,NA,2017-07-29,NA,2022-11-10,Semantic Change
decorators,NA,2021-04-10,NA,2022-03-29,NA,2024-09-05,Semantic Change
source-phase-imports,2021-12-18,2022-07-19,NA,2023-07-24,NA,2025-02-08,Semantic Change
json-parse-source,2018-09-28,2020-07-23,NA,2022-07-20,NA,2023-09-26,Semantic Change
overloading,2020-03-15,NA,NA,NA,NA,2023-12-18,Semantic Change
unicode-sequence-properties,2018-05-22,2018-09-27,NA,NA,NA,2022-05-20,Semantic Change
module-unambig,NA,NA,NA,NA,NA,2017-04-06,Semantic Change
typedarray-stride-parameter,2020-02-07,NA,NA,NA,NA,2020-03-17,Semantic Change
cancel-promise,2016-06-06,NA,NA,NA,NA,2016-12-15,Semantic Change
deprecated,NA,NA,NA,NA,NA,2018-08-20,Semantic Change
callable-constructors,2017-10-12,NA,NA,NA,NA,None,Semantic Change
object-enums,NA,NA,NA,NA,NA,2016-04-29,Semantic Change
ptc,NA,NA,NA,NA,NA,2016-05-07,Semantic Change
spaceship,NA,NA,NA,NA,NA,2020-05-29,Semantic Change
re-atomic-groups,NA,NA,NA,NA,NA,2020-01-26,Semantic Change
date-parse,NA,NA,NA,NA,NA,2016-06-08,Semantic Change
modules-pragma,2017-05-16,NA,NA,NA,NA,2022-01-24,Semantic Change
