Title,Stage 1,Stage 2,Stage 2.7,Stage 3,Stage 4,Last Commit,Classification
regexp-x-mode,2021-10-28,NA,NA,NA,NA,2021-10-28,Syntactic Change
call-this,2021-11-11,NA,NA,NA,NA,2023-05-05,Syntactic Change
export-from,2016-03-29,NA,NA,NA,NA,2021-10-15,Syntactic Change
matching,2018-05-25,NA,NA,NA,NA,2024-09-27,Syntactic Change
do,2017-09-13,NA,NA,NA,NA,2021-03-03,Syntactic Change
promise-pipelining,2019-07-12,NA,NA,NA,NA,2020-04-26,Syntactic Change
slice-notation,2018-03-24,NA,NA,NA,NA,2022-07-07,Syntactic Change
bigint-math,2021-09-03,NA,NA,NA,NA,2022-07-11,Syntactic Change
regexp-atomic-operators,2022-06-08,NA,NA,NA,NA,2022-06-08,Syntactic Change
built-in-modules,2018-09-21,NA,NA,NA,NA,2020-09-24,Syntactic Change
proposal-compartments,2020-04-07,NA,NA,NA,NA,2022-12-19,Syntactic Change
class-param-decorators,2023-04-27,NA,NA,NA,NA,2025-01-28,Syntactic Change
asset-references,2018-11-28,NA,NA,NA,NA,2020-09-28,Syntactic Change
mixins,2018-01-26,NA,NA,NA,NA,2019-12-06,Syntactic Change
freeze-seal-syntax,2017-11-30,NA,NA,NA,NA,2018-04-17,Syntactic Change
type-annotations,2022-03-31,NA,NA,NA,NA,2025-02-15,Syntactic Change
await,2020-08-25,NA,NA,NA,NA,2022-11-21,Syntactic Change
regexp-r-escape,2021-12-04,NA,NA,NA,NA,2021-12-04,Syntactic Change
declarations-in-conditionals,2019-10-03,NA,NA,NA,NA,2022-01-24,Syntactic Change
async-init,NA,NA,NA,NA,NA,None,Syntactic Change
block-params,2017-12-05,NA,NA,NA,NA,2021-02-10,Syntactic Change
new,2019-01-31,NA,NA,NA,NA,2019-03-03,Syntactic Change
negated-in,2023-10-02,NA,NA,NA,NA,2023-11-10,Syntactic Change
module-sync-assert,2023-11-29,NA,NA,NA,NA,2024-03-28,Syntactic Change
optional-assign,2023-07-16,NA,NA,NA,NA,2024-01-23,Syntactic Change
class-brand-check,2022-01-24,NA,NA,NA,NA,2022-01-25,Syntactic Change
private-declarations,2019-04-08,NA,NA,NA,NA,2020-01-21,Syntactic Change
accessors,2021-08-11,NA,NA,NA,NA,2022-05-25,Syntactic Change
class-access-expressions,2018-07-11,NA,NA,NA,NA,2020-09-09,Syntactic Change
deep-path-properties,2020-06-03,NA,NA,NA,NA,2020-06-03,Syntactic Change
extensions,2020-12-29,NA,NA,NA,NA,2023-01-18,Syntactic Change
template-literals,2024-08-19,NA,NA,NA,NA,2024-08-19,Syntactic Change
async-do,2021-01-27,NA,NA,NA,NA,2021-02-03,Syntactic Change
binary-ast,2017-07-13,NA,NA,NA,NA,2019-01-16,Syntactic Change
partial-application,2017-11-17,NA,NA,NA,NA,2021-10-19,Syntactic Change
func-obj-decs,2024-02-08,NA,NA,NA,NA,2024-01-25,Syntactic Change
