Title,Stage 1,Stage 2,Stage 2.7,Stage 3,Stage 4,Last Commit,Classification
esm-phase,2024-02-13,2024-06-18,2024-12-05,NA,NA,2025-02-05,Syntactic Change
lazy-import,2021-01-28,2023-07-18,2024-06-12,NA,NA,2025-02-26,Syntactic Change
resource-management,2018-07-24,2019-07-25,NA,2023-01-03,NA,2024-06-15,Syntactic Change
decorator-metadata,NA,2022-04-10,NA,2023-06-13,NA,2024-01-17,Syntactic Change
decorators,NA,2021-04-10,NA,2022-03-29,NA,2024-09-05,Syntactic Change
source-phase-imports,2021-12-18,2022-07-19,NA,2023-07-24,NA,2025-02-08,Syntactic Change
overloading,2020-03-15,NA,NA,NA,NA,2023-12-18,Syntactic Change
unicode-sequence-properties,2018-05-22,2018-09-27,NA,NA,NA,2022-05-20,Syntactic Change
module-unambig,NA,NA,NA,NA,NA,2017-04-06,Syntactic Change
fromimport,NA,NA,NA,NA,NA,2020-04-03,Syntactic Change
cancel-promise,2016-06-06,NA,NA,NA,NA,2016-12-15,Syntactic Change
deprecated,NA,NA,NA,NA,NA,2018-08-20,Syntactic Change
callable-constructors,2017-10-12,NA,NA,NA,NA,None,Syntactic Change
collection-literals,NA,NA,NA,NA,NA,2018-05-25,Syntactic Change
ptc,NA,NA,NA,NA,NA,2016-05-07,Syntactic Change
unused-params,NA,NA,NA,NA,NA,2020-08-12,Syntactic Change
spaceship,NA,NA,NA,NA,NA,2020-05-29,Syntactic Change
re-atomic-groups,NA,NA,NA,NA,NA,2020-01-26,Syntactic Change
generator-arrow-functions,2019-10-21,NA,NA,NA,NA,2020-07-25,Syntactic Change
modules-pragma,2017-05-16,NA,NA,NA,NA,2022-01-24,Syntactic Change
extensible-literals,2018-01-29,NA,NA,NA,NA,2020-07-07,Syntactic Change
blocks,NA,NA,NA,NA,NA,2019-09-26,Syntactic Change
module-expressions,2020-12-11,2021-10-29,NA,NA,NA,2022-12-19,Syntactic Change
regexp-buffer-boundaries,2021-10-28,2021-12-16,NA,NA,NA,2022-05-28,Syntactic Change
json-parse-immutable,NA,2022-07-28,NA,NA,NA,2022-07-28,Syntactic Change
throw-expressions,2017-09-12,2017-09-27,NA,NA,NA,2024-01-20,Syntactic Change
censorship,2018-05-03,2019-03-15,NA,NA,NA,2019-12-02,Syntactic Change
discards,2024-01-17,2024-06-13,NA,NA,NA,2024-06-12,Syntactic Change
record-tuple,2019-10-01,2020-07-22,NA,NA,NA,2023-12-13,Syntactic Change
module-declarations,2021-07-01,2023-04-21,NA,NA,NA,2023-04-21,Syntactic Change
extractors,2022-09-15,2022-10-09,NA,NA,NA,2024-09-27,Syntactic Change
function-sent,NA,2019-07-24,NA,NA,NA,2019-08-18,Syntactic Change
destructure-private,2021-09-05,2021-10-30,NA,NA,NA,2024-07-15,Syntactic Change
pipeline,2017-12-26,2021-08-31,NA,NA,NA,2023-12-01,Syntactic Change
regexp-x-mode,2021-10-28,NA,NA,NA,NA,2021-10-28,Syntactic Change
call-this,2021-11-11,NA,NA,NA,NA,2023-05-05,Syntactic Change
export-from,2016-03-29,NA,NA,NA,NA,2021-10-15,Syntactic Change
matching,2018-05-25,NA,NA,NA,NA,2024-09-27,Syntactic Change
do,2017-09-13,NA,NA,NA,NA,2021-03-03,Syntactic Change
promise-pipelining,2019-07-12,NA,NA,NA,NA,2020-04-26,Syntactic Change
slice-notation,2018-03-24,NA,NA,NA,NA,2022-07-07,Syntactic Change
bigint-math,2021-09-03,NA,NA,NA,NA,2022-07-11,Syntactic Change
regexp-atomic-operators,2022-06-08,NA,NA,NA,NA,2022-06-08,Syntactic Change
built-in-modules,2018-09-21,NA,NA,NA,NA,2020-09-24,Syntactic Change
proposal-compartments,2020-04-07,NA,NA,NA,NA,2022-12-19,Syntactic Change
class-param-decorators,2023-04-27,NA,NA,NA,NA,2025-01-28,Syntactic Change
asset-references,2018-11-28,NA,NA,NA,NA,2020-09-28,Syntactic Change
mixins,2018-01-26,NA,NA,NA,NA,2019-12-06,Syntactic Change
freeze-seal-syntax,2017-11-30,NA,NA,NA,NA,2018-04-17,Syntactic Change
type-annotations,2022-03-31,NA,NA,NA,NA,2025-02-15,Syntactic Change
await,2020-08-25,NA,NA,NA,NA,2022-11-21,Syntactic Change
regexp-r-escape,2021-12-04,NA,NA,NA,NA,2021-12-04,Syntactic Change
declarations-in-conditionals,2019-10-03,NA,NA,NA,NA,2022-01-24,Syntactic Change
async-init,NA,NA,NA,NA,NA,None,Syntactic Change
block-params,2017-12-05,NA,NA,NA,NA,2021-02-10,Syntactic Change
new,2019-01-31,NA,NA,NA,NA,2019-03-03,Syntactic Change
negated-in,2023-10-02,NA,NA,NA,NA,2023-11-10,Syntactic Change
module-sync-assert,2023-11-29,NA,NA,NA,NA,2024-03-28,Syntactic Change
optional-assign,2023-07-16,NA,NA,NA,NA,2024-01-23,Syntactic Change
class-brand-check,2022-01-24,NA,NA,NA,NA,2022-01-25,Syntactic Change
private-declarations,2019-04-08,NA,NA,NA,NA,2020-01-21,Syntactic Change
accessors,2021-08-11,NA,NA,NA,NA,2022-05-25,Syntactic Change
class-access-expressions,2018-07-11,NA,NA,NA,NA,2020-09-09,Syntactic Change
deep-path-properties,2020-06-03,NA,NA,NA,NA,2020-06-03,Syntactic Change
extensions,2020-12-29,NA,NA,NA,NA,2023-01-18,Syntactic Change
template-literals,2024-08-19,NA,NA,NA,NA,2024-08-19,Syntactic Change
async-do,2021-01-27,NA,NA,NA,NA,2021-02-03,Syntactic Change
binary-ast,2017-07-13,NA,NA,NA,NA,2019-01-16,Syntactic Change
partial-application,2017-11-17,NA,NA,NA,NA,2021-10-19,Syntactic Change
func-obj-decs,2024-02-08,NA,NA,NA,NA,2024-01-25,Syntactic Change
regexp-v-flag,2021-01-28,2021-05-27,NA,2022-03-29,2023-05-16,2023-09-22,Syntactic Change
regex-match-indices,2018-07-11,2019-07-12,NA,2019-07-25,2021-06-10,2022-06-06,Syntactic Change
dynamic-import,NA,2016-10-07,NA,2016-12-01,2019-06-20,2019-06-20,Syntactic Change
hashbang-grammar,2018-03-21,2018-09-11,NA,2018-11-29,2022-07-20,2022-07-20,Syntactic Change
dot-all,2016-11-30,2017-03-22,NA,2017-03-22,2017-12-19,2018-01-19,Syntactic Change
nullish-coalescing,2017-09-28,2019-06-05,NA,2019-07-23,2020-01-21,2022-11-24,Syntactic Change
private-methods,NA,2017-07-28,NA,2018-10-26,2021-06-10,2022-01-24,Syntactic Change
optional-catch,NA,NA,NA,2017-07-28,2018-05-22,2018-05-22,Syntactic Change
import-meta,NA,2017-05-25,NA,2017-09-28,2020-05-01,2020-05-01,Syntactic Change
async-await,2014-04-09,2015-08-02,NA,2015-09-29,2015-10-08,2020-11-19,Syntactic Change
named-groups,NA,NA,NA,2017-03-22,2018-01-24,2018-01-24,Syntactic Change
globalThis,2015-11-19,2016-03-29,NA,2016-09-29,2019-10-01,2019-10-01,Syntactic Change
import-attributes,2019-12-06,2020-06-04,NA,2020-09-22,2024-12-12,2024-12-12,Syntactic Change
object-rest-spread,2014-10-29,2015-08-25,NA,2016-09-29,2018-02-13,2022-01-24,Syntactic Change
lookbehind,NA,2016-12-06,NA,2017-03-22,2018-01-24,2018-01-26,Syntactic Change
unicode-escapes,2016-07-27,2016-09-28,NA,2017-03-22,2018-01-24,2023-03-21,Syntactic Change
async-iteration,2016-02-02,2016-03-31,NA,2016-09-30,2018-01-25,2018-02-12,Syntactic Change
json-modules,2019-12-06,2020-06-04,NA,2021-02-01,2024-10-08,2023-12-12,Syntactic Change
private-fields-in-in,2020-04-01,2020-06-01,NA,2021-01-27,2021-07-15,2021-07-15,Syntactic Change
function-commas,NA,NA,NA,2015-11-16,2016-07-28,2016-07-28,Syntactic Change
await,2018-01-24,2018-05-22,NA,2019-06-06,2021-05-25,2021-05-28,Syntactic Change
logical-assignment,2018-03-25,2020-02-16,NA,2020-03-15,2020-07-21,2020-07-21,Syntactic Change
chaining,2017-03-09,2019-06-05,NA,2019-07-25,2019-12-06,2022-01-24,Syntactic Change
regexp-modifiers,2021-10-28,2021-12-16,NA,2022-10-18,2024-10-08,2024-10-08,Syntactic Change
function-to-string,2016-01-14,2016-03-16,NA,2016-03-31,2018-11-28,2018-11-28,Syntactic Change
exponentiation,NA,2015-02-23,NA,2015-07-29,2022-01-24,2022-01-24,Syntactic Change
template-literal-lift,2016-05-03,NA,NA,NA,2017-10-12,2022-01-24,Syntactic Change
numeric_separators,2017-05-27,2017-08-08,NA,2017-11-29,2020-07-23,2021-07-16,Syntactic Change
static-blocks,2018-07-10,2020-11-06,NA,2021-01-27,2021-08-31,2021-08-31,Syntactic Change
json-superset,2017-09-27,2017-11-29,NA,2018-01-25,2018-05-22,2019-02-13,Syntactic Change
metaprops,NA,NA,NA,NA,NA,2015-05-13,Syntactic Change
ortho,NA,NA,NA,NA,NA,2017-03-23,Syntactic Change
catch-guard,NA,NA,NA,NA,NA,2022-07-13,Syntactic Change
nested-imports,NA,NA,NA,NA,NA,2016-07-24,Syntactic Change
func-expr-decorators,NA,NA,NA,NA,NA,2016-01-25,Syntactic Change
as-patterns,NA,NA,NA,NA,NA,2018-05-10,Syntactic Change
method-param-decorators,NA,NA,NA,NA,NA,2016-01-25,Syntactic Change
relationships,NA,NA,NA,NA,NA,2013-08-05,Syntactic Change
object-shorthand-improvements,NA,NA,NA,NA,NA,2017-07-25,Syntactic Change
bind-syntax,NA,NA,NA,NA,NA,2018-01-19,Syntactic Change
