Classification,Date,MonthsSinceStart
API,2021-10-26,13
API,2016-03-29,6
API,2023-05-15,71
API,2016-05-25,6
API,2024-10-08,68
API,2023-05-15,9
API,2015-11-17,15
API,2019-01-29,6
API,2019-07-24,9
API,2020-07-21,15
API,2018-11-28,16
API,2023-03-05,22
API,2023-11-27,28
API,2021-08-31,4
API,2018-01-24,17
API,2024-07-12,19
API,2019-03-26,41
API,2022-06-06,16
API,2022-01-24,16
API,2023-01-30,31
API,2019-01-29,18
API,2024-06-25,18
API,2016-05-25,3
API,2023-10-24,39
API,2025-02-18,48
API,2024-10-09,94
API,2023-12-12,8
API,2020-06-27,30
API,2019-12-30,44
API_Sem,2020-12-16,56
API_Sem,2017-02-09,16
API_Sem,2019-09-30,32
API_Syn,2015-10-08,17
Sem,2020-02-11,8
Sem,2019-01-29,8
Syn,2022-07-20,51
Syn,2018-01-25,23
Syn,2016-07-28,8
Syn,2020-07-23,37
Syn_Sem,2023-05-16,27
Syn_Sem,2021-06-10,34
Syn_Sem,2019-06-20,32
Syn_Sem,2017-12-19,12
Syn_Sem,2020-01-21,27
Syn_Sem,2021-06-10,46
Syn_Sem,2018-05-22,9
Syn_Sem,2020-05-01,35
Syn_Sem,2018-01-24,10
Syn_Sem,2019-10-01,46
Syn_Sem,2024-12-12,60
Syn_Sem,2018-02-13,39
Syn_Sem,2018-01-24,13
Syn_Sem,2018-01-24,17
Syn_Sem,2024-10-08,58
Syn_Sem,2021-07-15,15
Syn_Sem,2021-05-25,40
Syn_Sem,2020-07-21,27
Syn_Sem,2019-12-06,32
Syn_Sem,2024-10-08,35
Syn_Sem,2018-11-28,34
Syn_Sem,2022-01-24,83
Syn_Sem,2017-10-12,17
Syn_Sem,2021-08-31,37
Syn_Sem,2018-05-22,7
