Title,Stage 1,Stage 2,Stage 2.7,Stage 3,Stage 4,Last Commit
double-ended-iterator,2022-01-23,NA,NA,NA,NA,2022-07-21
limited-array-buffer,2021-11-11,NA,NA,NA,NA,2022-02-07
regexp-x-mode,2021-10-28,NA,NA,NA,NA,2021-10-28
call-this,2021-11-11,NA,NA,NA,NA,2023-05-05
export-from,2016-03-29,NA,NA,NA,NA,2021-10-15
codepoints,2017-11-29,NA,NA,NA,NA,2019-10-21
dataview-uint8c,2023-07-15,NA,NA,NA,NA,2024-10-10
matching,2018-05-25,NA,NA,NA,NA,2024-09-27
do,2017-09-13,NA,NA,NA,NA,2021-03-03
collection-of-from,2017-05-21,NA,NA,NA,NA,2019-10-22
promise-pipelining,2019-07-12,NA,NA,NA,NA,2020-04-26
once,2022-03-31,NA,NA,NA,NA,2022-07-10
eventual-send,2019-10-05,NA,NA,NA,NA,2022-04-09
idl,2018-10-12,NA,NA,NA,NA,2018-10-12
slice-notation,2018-03-24,NA,NA,NA,NA,2022-07-07
memoization,2022-07-22,NA,NA,NA,NA,2022-07-22
bigint-math,2021-09-03,NA,NA,NA,NA,2022-07-11
string.cooked,2021-12-31,NA,NA,NA,NA,2022-07-02
protocols,2017-09-27,NA,NA,NA,NA,2022-11-28
reversible-string-split,2022-01-25,NA,NA,NA,NA,2022-01-26
regexp-atomic-operators,2022-06-08,NA,NA,NA,NA,2022-06-08
built-in-modules,2018-09-21,NA,NA,NA,NA,2020-09-24
proposal-compartments,2020-04-07,NA,NA,NA,NA,2022-12-19
class-param-decorators,2023-04-27,NA,NA,NA,NA,2025-01-28
modulus,2023-06-23,NA,NA,NA,NA,2023-07-09
legacy-reflection,2020-02-06,NA,NA,NA,NA,2020-02-28
locale-extensions,2023-09-28,NA,NA,NA,NA,2024-02-21
module-keys,2018-06-12,NA,NA,NA,NA,2019-07-01
asset-references,2018-11-28,NA,NA,NA,NA,2020-09-28
mixins,2018-01-26,NA,NA,NA,NA,2019-12-06
freeze-seal-syntax,2017-11-30,NA,NA,NA,NA,2018-04-17
type-annotations,2022-03-31,NA,NA,NA,NA,2025-02-15
await.ops,2020-08-25,NA,NA,NA,NA,2022-11-21
dynamic-modules,2018-07-25,NA,NA,NA,NA,2018-12-20
freeze-proto,2019-01-31,NA,NA,NA,NA,2019-01-31
stable-format,2023-09-28,NA,NA,NA,NA,2025-02-19
regexp-r-escape,2021-12-04,NA,NA,NA,NA,2021-12-04
declarations-in-conditionals,2019-10-03,NA,NA,NA,NA,2022-01-24
collection-methods,2019-01-15,NA,NA,NA,NA,2024-08-01
signals,2024-04-11,NA,NA,NA,NA,2025-01-01
secure-ecmascript,2016-04-15,NA,NA,NA,NA,2021-02-18
richer-keys,NA,NA,NA,NA,NA,NA
strict-using,2024-04-12,NA,NA,NA,NA,2024-04-12
reverse-iteration,2019-07-24,NA,NA,NA,NA,2019-07-24
unordered-async,2024-08-08,NA,NA,NA,NA,2024-08-08
async-init,NA,NA,NA,NA,NA,None
block-params,2017-12-05,NA,NA,NA,NA,2021-02-10
new.initialize,2019-01-31,NA,NA,NA,NA,2019-03-03
stabilize,2024-12-05,NA,NA,NA,NA,2025-02-20
negated-in,2023-10-02,NA,NA,NA,NA,2023-11-10
module-sync-assert,2023-11-29,NA,NA,NA,NA,2024-03-28
csprng,2020-02-06,NA,NA,NA,NA,2020-02-06
optional-assign,2023-07-16,NA,NA,NA,NA,2024-01-23
readonly-collections,2019-10-05,NA,NA,NA,NA,2019-10-15
uniform-date-parse,2018-09-28,NA,NA,NA,NA,2023-09-13
class-brand-check,2022-01-24,NA,NA,NA,NA,2022-01-25
get-intrinsic,2021-10-29,NA,NA,NA,NA,2023-09-21
virtualize,NA,NA,NA,NA,NA,2020-02-02
observable,2015-05-01,NA,NA,NA,NA,2019-11-01
seeded-randoms,2018-01-25,NA,NA,NA,NA,2025-02-27
array-equality,2020-06-04,NA,NA,NA,NA,2020-06-17
await-dictionary,2023-03-23,NA,NA,NA,NA,2023-03-25
private-declarations,2019-04-08,NA,NA,NA,NA,2020-01-21
mass-proxy-revocation,2022-12-01,NA,NA,NA,NA,2022-12-01
iterator-unique,2024-02-08,NA,NA,NA,NA,2024-02-08
cancel-api,2017-09-13,NA,NA,NA,NA,2017-11-15
array.zip,2024-10-09,NA,NA,NA,NA,2024-10-10
oom,2019-10-05,NA,NA,NA,NA,2022-10-13
policy-maps,2022-07-21,NA,NA,NA,NA,2022-08-21
accessors,2021-08-11,NA,NA,NA,NA,2022-05-25
debug,2020-09-25,NA,NA,NA,NA,2020-11-17
species-extinct,2020-07-23,NA,NA,NA,NA,2024-05-01
import-sync,2024-12-05,NA,NA,NA,NA,2024-12-05
array-filtering,2019-12-12,NA,NA,NA,NA,2021-07-20
class-access-expressions,2018-07-11,NA,NA,NA,NA,2020-09-09
deep-path-properties,2020-06-03,NA,NA,NA,NA,2020-06-03
extensions,2020-12-29,NA,NA,NA,NA,2023-01-18
template-literals,2024-08-19,NA,NA,NA,NA,2024-08-19
faster-promise-adoption,2022-06-06,NA,NA,NA,NA,2022-06-08
