"","Tag","n"
"1","#performance",32
"2","#iterator",26
"3","#asynchronous",22
"4","#promise",22
"5","#module",21
"6","#regex",20
"7","#array",19
"8","#property",19
"9","#class",18
"10","#security",18
"11","#string",17
"12","#error_handling",15
"13","#memory_management",15
"14","#typedarray",12
"15","#concurrency",10
"16","#arithmetic",9
"17","#destructuring",8
"18","#map",8
"19","#numeric",8
"20","#arraybuffer",7
"21","#decorator",7
"22","#json",7
"23","#math",7
"24","#unicode",7
"25","#bigint",6
"26","#generator",6
"27","#global",6
"28","#iterable",6
"29","#key_value_pairs",6
"30","#parse",6
"31","#realm",6
"32","#symbol",6
"33","#date_time",5
"34","#encapsulation",5
"35","#grammar",5
"36","#metadata",5
"37","#operator",5
"38","#pattern_matching",5
"39","#readability",5
"40","#resource_management",5
"41","#set",5
"42","#string_manipulation",5
"43","#synchronous",5
"44","#wait",5
"45","#accessor",4
"46","#callback",4
"47","#collection",4
"48","#ergonomic",4
"49","#formatting",4
"50","#immutable",4
"51","#integer",4
"52","#memoization",4
"53","#serialization",4
"54","#synchronization",4
"55","#binding",3
"56","#cache",3
"57","#chaining",3
"58","#debug",3
"59","#declaration",3
"60","#decorators",3
"61","#error",3
"62","#escape",3
"63","#evaluation",3
"64","#expression",3
"65","#floating_point",3
"66","#helper",3
"67","#inheritance",3
"68","#initialization",3
"69","#lambda",3
"70","#legacy",3
"71","#record",3
"72","#type",3
"73","#access",2
"74","#atomic",2
"75","#backreference",2
"76","#brand_check",2
"77","#cancellation",2
"78","#comments",2
"79","#copy",2
"80","#cryptography",2
"81","#default_value",2
"82","#directive",2
"83","#equality",2
"84","#exception",2
"85","#freeze",2
"86","#generic",2
"87","#index",2
"88","#internationalization",2
"89","#literals",2
"90","#memory",2
"91","#mixin",2
"92","#modules",2
"93","#named_groups",2
"94","#normalization",2
"95","#opt-in",2
"96","#ordering",2
"97","#parameter",2
"98","#pipelining",2
"99","#placeholder",2
"100","#private",2
"101","#private_field",2
"102","#private_methods",2
"103","#promises",2
"104","#readonly",2
"105","#reflection",2
"106","#runtime",2
"107","#short_circuiting",2
"108","#standardization",2
"109","#static",2
"110","#symbols",2
"111","#transpilation",2
"112","#tuple",2
"113","#unique",2
"114","#virtualization",2
"115","#visibility",2
"116","#webassembly",2
"117","#whitespace",2
"118","#IDL",1
"119","#accessibility",1
"120","#agent",1
"121","#ambiguity",1
"122","#annotations",1
"123","#any_character",1
"124","#assertions",1
"125","#assignment",1
"126","#backtracking",1
"127","#backward_compatibility",1
"128","#base64",1
"129","#binary",1
"130","#block",1
"131","#bundler",1
"132","#caching",1
"133","#calendar",1
"134","#callbacks",1
"135","#calling_convention",1
"136","#catch",1
"137","#chunking",1
"138","#class_fields",1
"139","#cli",1
"140","#cloning",1
"141","#code-like",1
"142","#code_style",1
"143","#coercion",1
"144","#communication",1
"145","#comparison",1
"146","#compartment",1
"147","#composite_keys",1
"148","#composition",1
"149","#compound",1
"150","#concatenate",1
"151","#conditional",1
"152","#configurable",1
"153","#constructor",1
"154","#constructors",1
"155","#consumption",1
"156","#container",1
"157","#dataview",1
"158","#decimal",1
"159","#decoding",1
"160","#deduplication",1
"161","#deep_path",1
"162","#deletable_properties",1
"163","#deprecation",1
"164","#derived_class",1
"165","#descriptors",1
"166","#differentiation",1
"167","#discard",1
"168","#domain_specific_language",1
"169","#duplicates",1
"170","#dynamic",1
"171","#dynamic_loading",1
"172","#dynamic_modules",1
"173","#encoding",1
"174","#enumeration",1
"175","#environment",1
"176","#ergonomics",1
"177","#evaluators",1
"178","#event",1
"179","#eventual-send",1
"180","#export",1
"181","#expressions",1
"182","#extensibility",1
"183","#extensible",1
"184","#extension",1
"185","#extractor",1
"186","#factory",1
"187","#field_initialization",1
"188","#fields",1
"189","#filter",1
"190","#finalizer",1
"191","#first_run",1
"192","#flag",1
"193","#flags",1
"194","#framework",1
"195","#frozen",1
"196","#functional",1
"197","#functionality",1
"198","#garbage_collection",1
"199","#getter",1
"200","#guards",1
"201","#hashbang",1
"202","#hexadecimal",1
"203","#host_environment",1
"204","#host_objects",1
"205","#identifier",1
"206","#import",1
"207","#initializer_evaluation",1
"208","#instance",1
"209","#instance_private",1
"210","#integrity",1
"211","#interface_description_language",1
"212","#interpolation",1
"213","#intrinsic",1
"214","#isolated",1
"215","#isolation",1
