Proposal ,Tag,Stage 1,Stage 4
async-await,#asynchronous,2014-04-09,2015-10-08
async-await,#generator,2014-04-09,2015-10-08
async-await,#promises,2014-04-09,2015-10-08
array-includes,#array,2014-07-23,2015-11-17
array-includes,#typedarray,2014-07-23,2015-11-17
atomics,#concurrency,2015-09-24,2017-02-09
atomics,#memory_management,2015-09-24,2017-02-09
atomics,#performance,2015-09-24,2017-02-09
atomics,#synchronization,2015-09-24,2017-02-09
template-literal-lift,#expressions,2016-05-03,2017-10-12
template-literal-lift,#extensibility,2016-05-03,2017-10-12
template-literal-lift,#functionality,2016-05-03,2017-10-12
template-literal-lift,#interpolation,2016-05-03,2017-10-12
template-literal-lift,#literals,2016-05-03,2017-10-12
template-literal-lift,#performance,2016-05-03,2017-10-12
dot-all,#any_character,2016-11-30,2017-12-19
dot-all,#multiline,2016-11-30,2017-12-19
dot-all,#regex,2016-11-30,2017-12-19
unicode-escapes,#performance,2016-07-27,2018-01-24
unicode-escapes,#property,2016-07-27,2018-01-24
unicode-escapes,#regex,2016-07-27,2018-01-24
unicode-escapes,#unicode,2016-07-27,2018-01-24
async-iteration,#asynchronous,2016-02-02,2018-01-25
async-iteration,#iterator,2016-02-02,2018-01-25
async-iteration,#promise,2016-02-02,2018-01-25
object-rest-spread,#copy,2014-10-29,2018-02-13
object-rest-spread,#destructuring,2014-10-29,2018-02-13
object-rest-spread,#iterable,2014-10-29,2018-02-13
object-rest-spread,#property,2014-10-29,2018-02-13
object-rest-spread,#rest_properties,2014-10-29,2018-02-13
object-rest-spread,#spread_properties,2014-10-29,2018-02-13
json-superset,#grammar,2017-09-27,2018-05-22
json-superset,#json,2017-09-27,2018-05-22
json-superset,#parse,2017-09-27,2018-05-22
function-to-string,#source_code_representation,2016-01-14,2018-11-28
function-to-string,#strict_mode,2016-01-14,2018-11-28
symbol-description,#property,2017-07-26,2018-11-28
symbol-description,#symbol,2017-07-26,2018-11-28
flat,#array,2017-07-28,2019-01-29
flat,#iterator,2017-07-28,2019-01-29
matchall,#global,2015-10-05,2019-03-26
matchall,#iterator,2015-10-05,2019-03-26
matchall,#performance,2015-10-05,2019-03-26
matchall,#regex,2015-10-05,2019-03-26
allsettled,#asynchronous,2018-09-27,2019-07-24
allsettled,#promise,2018-09-27,2019-07-24
bigint,#arithmetic,2017-01-27,2019-09-30
bigint,#bigint,2017-01-27,2019-09-30
bigint,#integer,2017-01-27,2019-09-30
globalThis,#global,2015-11-19,2019-10-01
globalThis,#window,2015-11-19,2019-10-01
globalThis,#windowproxy,2015-11-19,2019-10-01
chaining,#access,2017-03-09,2019-12-06
chaining,#property,2017-03-09,2019-12-06
chaining,#short-circuiting,2017-03-09,2019-12-06
trims,#formatting,2016-04-29,2019-12-30
trims,#string,2016-04-29,2019-12-30
trims,#string_manipulation,2016-04-29,2019-12-30
nullish-coalescing,#default_value,2017-09-28,2020-01-21
nullish-coalescing,#null,2017-09-28,2020-01-21
nullish-coalescing,#property,2017-09-28,2020-01-21
nullish-coalescing,#undefined,2017-09-28,2020-01-21
for-in-mechanics,#enumeration,2019-05-25,2020-02-11
for-in-mechanics,#iterator,2019-05-25,2020-02-11
for-in-mechanics,#ordering,2019-05-25,2020-02-11
replace-all,#global,2017-11-29,2020-06-27
replace-all,#performance,2017-11-29,2020-06-27
replace-all,#regex,2017-11-29,2020-06-27
replace-all,#string,2017-11-29,2020-06-27
logical-assignment,#logical_operator,2018-03-25,2020-07-21
logical-assignment,#performance,2018-03-25,2020-07-21
logical-assignment,#short_circuiting,2018-03-25,2020-07-21
promise-any,#asynchronous,2019-03-27,2020-07-21
promise-any,#error_handling,2019-03-27,2020-07-21
promise-any,#iterable,2019-03-27,2020-07-21
promise-any,#promise,2019-03-27,2020-07-21
promise-any,#short_circuiting,2019-03-27,2020-07-21
numeric_separators,#bigint,2017-05-27,2020-07-23
numeric_separators,#floating_point,2017-05-27,2020-07-23
numeric_separators,#integer,2017-05-27,2020-07-23
numeric_separators,#numeric_literal,2017-05-27,2020-07-23
numeric_separators,#readability,2017-05-27,2020-07-23
weakrefs,#finalizer,2016-04-01,2020-12-16
weakrefs,#garbage_collection,2016-04-01,2020-12-16
weakrefs,#iterator,2016-04-01,2020-12-16
weakrefs,#memory_management,2016-04-01,2020-12-16
weakrefs,#weak_reference,2016-04-01,2020-12-16
weakrefs,#webassembly,2016-04-01,2020-12-16
await,#asynchronous,2018-01-24,2021-05-25
await,#modules,2018-01-24,2021-05-25
await,#promises,2018-01-24,2021-05-25
regex-match-indices,#array,2018-07-11,2021-06-10
regex-match-indices,#index,2018-07-11,2021-06-10
regex-match-indices,#iterator,2018-07-11,2021-06-10
regex-match-indices,#performance,2018-07-11,2021-06-10
regex-match-indices,#property,2018-07-11,2021-06-10
regex-match-indices,#regex,2018-07-11,2021-06-10
private-fields-in-in,#brand_check,2020-04-01,2021-07-15
private-fields-in-in,#class,2020-04-01,2021-07-15
private-fields-in-in,#encapsulation,2020-04-01,2021-07-15
private-fields-in-in,#private_field,2020-04-01,2021-07-15
static-blocks,#class,2018-07-10,2021-08-31
static-blocks,#decorator,2018-07-10,2021-08-31
static-blocks,#field_initialization,2018-07-10,2021-08-31
static-blocks,#instance_private,2018-07-10,2021-08-31
static-blocks,#private_field,2018-07-10,2021-08-31
error-cause,#debug,2020-09-24,2021-10-26
error-cause,#error,2020-09-24,2021-10-26
error-cause,#error_handling,2020-09-24,2021-10-26
find-last,#array,2021-02-01,2022-06-06
find-last,#iterator,2021-02-01,2022-06-06
find-last,#performance,2021-02-01,2022-06-06
find-last,#typedarray,2021-02-01,2022-06-06
hashbang-grammar,#cli,2018-03-21,2022-07-20
hashbang-grammar,#comments,2018-03-21,2022-07-20
hashbang-grammar,#grammar,2018-03-21,2022-07-20
hashbang-grammar,#hashbang,2018-03-21,2022-07-20
symbols-weakmap,#key_value_pairs,2020-06-02,2023-01-30
symbols-weakmap,#records,2020-06-02,2023-01-30
symbols-weakmap,#referencing,2020-06-02,2023-01-30
symbols-weakmap,#symbol,2020-06-02,2023-01-30
symbols-weakmap,#tuples,2020-06-02,2023-01-30
change-array-by-copy,#array,2021-04-20,2023-03-05
change-array-by-copy,#immutable,2021-04-20,2023-03-05
change-array-by-copy,#typedarray,2021-04-20,2023-03-05
nonblocking,#asynchronous,2017-06-06,2023-05-15
nonblocking,#concurrency,2017-06-06,2023-05-15
nonblocking,#wait,2017-06-06,2023-05-15
usv-string,#performance,2022-08-10,2023-05-15
usv-string,#string,2022-08-10,2023-05-15
usv-string,#unicode,2022-08-10,2023-05-15
regexp-v-flag,#flag,2021-01-28,2023-05-16
regexp-v-flag,#regex,2021-01-28,2023-05-16
regexp-v-flag,#set,2021-01-28,2023-05-16
regexp-v-flag,#string,2021-01-28,2023-05-16
resizable,#arraybuffer,2020-07-19,2023-10-24
resizable,#iterator,2020-07-19,2023-10-24
resizable,#memory_management,2020-07-19,2023-10-24
resizable,#performance,2020-07-19,2023-10-24
resizable,#security,2020-07-19,2023-10-24
resizable,#sharedarraybuffer,2020-07-19,2023-10-24
resizable,#typedarray,2020-07-19,2023-10-24
array-grouping,#array,2021-07-15,2023-11-27
array-grouping,#iterator,2021-07-15,2023-11-27
array-grouping,#map,2021-07-15,2023-11-27
promise-defer,#asynchronous,2023-03-24,2023-12-12
promise-defer,#error_handling,2023-03-24,2023-12-12
promise-defer,#promise,2023-03-24,2023-12-12
iterator-helpers,#array,2019-01-31,2024-10-08
iterator-helpers,#helper,2019-01-31,2024-10-08
iterator-helpers,#iterator,2019-01-31,2024-10-08
json-modules,#json,2019-12-06,2024-10-08
json-modules,#module,2019-12-06,2024-10-08
json-modules,#security,2019-12-06,2024-10-08
regexp-modifiers,#flags,2021-10-28,2024-10-08
regexp-modifiers,#modifiers,2021-10-28,2024-10-08
regexp-modifiers,#regex,2021-10-28,2024-10-08
try,#error_handling,2016-11-29,2024-10-09
try,#promise,2016-11-29,2024-10-09
try,#synchronous,2016-11-29,2024-10-09
import-attributes,#module,2019-12-06,2024-12-12
import-attributes,#module_specifier,2019-12-06,2024-12-12
import-attributes,#security,2019-12-06,2024-12-12
escape,#regex,2021-01-28,2025-02-18
escape,#string,2021-01-28,2025-02-18
