Proposal ,Tag,Stage 4
allsettled,#asynchronous,2019-07-24
allsettled,#promise,2019-07-24
array-grouping,#array,2023-11-27
array-grouping,#iterator,2023-11-27
array-grouping,#map,2023-11-27
array-includes,#array,2015-11-17
array-includes,#typedarray,2015-11-17
arraybuffer-transfer,#arraybuffer,2024-07-12
arraybuffer-transfer,#memory_management,2024-07-12
arraybuffer-transfer,#performance,2024-07-12
async-await,#asynchronous,2015-10-08
async-await,#generator,2015-10-08
async-await,#promises,2015-10-08
async-iteration,#asynchronous,2018-01-25
async-iteration,#iterator,2018-01-25
async-iteration,#promise,2018-01-25
at,#array,2022-01-24
at,#index,2022-01-24
at,#typedarray,2022-01-24
atomics,#concurrency,2017-02-09
atomics,#memory_management,2017-02-09
atomics,#performance,2017-02-09
atomics,#synchronization,2017-02-09
await,#asynchronous,2021-05-25
await,#modules,2021-05-25
await,#promises,2021-05-25
bigint,#arithmetic,2019-09-30
bigint,#bigint,2019-09-30
bigint,#integer,2019-09-30
chaining,#access,2019-12-06
chaining,#property,2019-12-06
chaining,#short-circuiting,2019-12-06
change-array-by-copy,#array,2023-03-05
change-array-by-copy,#immutable,2023-03-05
change-array-by-copy,#typedarray,2023-03-05
class-fields,#class,2021-06-10
class-fields,#decorators,2021-06-10
class-fields,#encapsulation,2021-06-10
class-fields,#inheritance,2021-06-10
class-fields,#initializer_evaluation,2021-06-10
class-fields,#visibility,2021-06-10
dot-all,#any_character,2017-12-19
dot-all,#multiline,2017-12-19
dot-all,#regex,2017-12-19
dynamic-import,#dynamic_loading,2019-06-20
dynamic-import,#module,2019-06-20
dynamic-import,#performance,2019-06-20
dynamic-import,#promise,2019-06-20
error-cause,#debug,2021-10-26
error-cause,#error,2021-10-26
error-cause,#error_handling,2021-10-26
escape,#regex,2025-02-18
escape,#string,2025-02-18
exponentiation,#arithmetic,2022-01-24
finally,#asynchronous,2018-01-24
finally,#promise,2018-01-24
find-last,#array,2022-06-06
find-last,#iterator,2022-06-06
find-last,#performance,2022-06-06
find-last,#typedarray,2022-06-06
flat,#array,2019-01-29
flat,#iterator,2019-01-29
for-in-mechanics,#enumeration,2020-02-11
for-in-mechanics,#iterator,2020-02-11
for-in-mechanics,#ordering,2020-02-11
function-commas,#code_style,2016-07-28
function-commas,#grammar,2016-07-28
function-commas,#transpilation,2016-07-28
function-to-string,#source_code_representation,2018-11-28
function-to-string,#strict_mode,2018-11-28
globalThis,#global,2019-10-01
globalThis,#window,2019-10-01
globalThis,#windowproxy,2019-10-01
hashbang-grammar,#cli,2022-07-20
