Proposal ,Topics,Stage 1,Stage 4
named-capture-groups,#regex,NA,NA
math-sum,#numbers,2023-12-24,NA
math-sum,#iterators,2023-12-24,NA
math-sum,#performance,2023-12-24,NA
atomics-pause,#performance,2024-02-13,NA
atomics-pause,#concurrency,2024-02-13,NA
time-zone-canon,#intl,2023-04-01,NA
time-zone-canon,#others,2023-04-01,NA
decorators,#objects,NA,NA
regexp-legacy,#regex,NA,NA
regexp-legacy,#others,NA,NA
uint8array-base64,#arrays,2023-04-06,NA
uint8array-base64,#numbers,2023-04-06,NA
uint8array-base64,#concurrency,2023-04-06,NA
resource-management,#others,2018-07-24,NA
resource-management,#memory,2018-07-24,NA
redeclarable-global-eval-vars,#others,NA,NA
float16s,#arrays,2023-02-18,NA
float16s,#memory,2023-02-18,NA
float16s,#numbers,2023-02-18,NA
float16s,#others,2023-02-18,NA
float16s,#performance,2023-02-18,NA
is-error,#others,2024-04-10,NA
decorator-metadata,#others,NA,NA
decorator-metadata,#objects,NA,NA
source-phase-imports,#modules,2021-12-18,NA
source-phase-imports,#webassembly,2021-12-18,NA
source-phase-imports,#security,2021-12-18,NA
source-phase-imports,#others,2021-12-18,NA
json-parse-source,#json,2018-09-28,NA
json-parse-source,#objects,2018-09-28,NA
json-parse-source,#others,2018-09-28,NA
json-parse-source,#performance,2018-09-28,NA
dynamic-code-brand-checks,#others,2019-06-06,NA
dynamic-code-brand-checks,#security,2019-06-06,NA
from-async,#async,2021-09-02,NA
from-async,#iterators,2021-09-02,NA
from-async,#others,2021-09-02,NA
from-async,#arrays,2021-09-02,NA
temporal,#intl,2017-05-03,NA
lazy-import,#objects,2021-01-28,NA
lazy-import,#modules,2021-01-28,NA
lazy-import,#performance,2021-01-28,NA
immutable-abs,#others,2024-11-30,NA
immutable-abs,#arrays,2024-11-30,NA
immutable-abs,#memory,2024-11-30,NA
immutable-abs,#performance,2024-11-30,NA
esm-phase,#modules,2024-02-13,NA
esm-phase,#concurrency,2024-02-13,NA
esm-phase,#performance,2024-02-13,NA
shadowrealm,#security,2017-01-30,NA
shadowrealm,#others,2017-01-30,NA
shadowrealm,#realms,2017-01-30,NA
sequencing,#iterators,2023-09-27,NA
joint,#iterators,2023-09-27,NA
joint,#concurrency,2023-09-27,NA
module-declarations,#modules,2021-07-01,NA
module-declarations,#performance,2021-07-01,NA
module-declarations,#others,2021-07-01,NA
isTemplateObject,#security,NA,NA
isTemplateObject,#others,NA,NA
iterator-range,#iterators,2020-04-01,NA
iterator-range,#numbers,2020-04-01,NA
destructure-private,#objects,2021-09-05,NA
symbol-predicates,#others,2022-07-21,NA
async-context,#async,2023-02-01,NA
async-context,#others,2023-02-01,NA
async-context,#functions,2023-02-01,NA
async-iterator-helpers,#async,NA,NA
async-iterator-helpers,#iterators,NA,NA
async-iterator-helpers,#concurrency,NA,NA
function-sent,#iterators,NA,NA
function-sent,#objects,NA,NA
record-tuple,#objects,2019-10-01,NA
record-tuple,#others,2019-10-01,NA
string.dedent,#intl,2022-02-01,NA
string.dedent,#others,2022-02-01,NA
pipeline,#others,2017-12-26,NA
chunking,#iterators,2023-12-11,NA
chunking,#others,2023-12-11,NA
map-emplace,#functions,2019-09-14,NA
map-emplace,#others,2019-09-14,NA
map-emplace,#collections,2019-09-14,NA
regexp-buffer-boundaries,#regex,2021-10-28,NA
regexp-buffer-boundaries,#others,2021-10-28,NA
regexp-buffer-boundaries,#intl,2021-10-28,NA
structs,#concurrency,2021-09-01,NA
structs,#objects,2021-09-01,NA
structs,#memory,2021-09-01,NA
extractors,#objects,2022-09-15,NA
extractors,#others,2022-09-15,NA
collection-rekey,#types,NA,NA
collection-rekey,#others,NA,NA
collection-rekey,#collections,NA,NA
json-parse-immutable,#objects,NA,NA
json-parse-immutable,#json,NA,NA
json-parse-immutable,#performance,NA,NA
censorship,#others,2018-05-03,NA
censorship,#objects,2018-05-03,NA
censorship,#security,2018-05-03,NA
module-expressions,#modules,2020-12-11,NA
module-expressions,#security,2020-12-11,NA
module-expressions,#realms,2020-12-11,NA
scriptormodule,#async,NA,NA
throw-expressions,#others,2017-09-12,NA
discards,#others,2024-01-17,NA
debug,#others,2020-09-25,NA
debug,#objects,2020-09-25,NA
type-annotations,#types,2022-03-31,NA
built-in-modules,#modules,2018-09-21,NA
built-in-modules,#performance,2018-09-21,NA
built-in-modules,#memory,2018-09-21,NA
built-in-modules,#others,2018-09-21,NA
stacks,#others,2017-01-25,NA
proposal-compartments,#realms,2020-04-07,NA
proposal-compartments,#others,2020-04-07,NA
proposal-compartments,#modules,2020-04-07,NA
extensions,#others,2020-12-29,NA
extensions,#objects,2020-12-29,NA
get-intrinsic,#others,2021-10-29,NA
slice-notation,#arrays,2018-03-24,NA
slice-notation,#others,2018-03-24,NA
slice-notation,#ergonomics,2018-03-24,NA
accessors,#objects,2021-08-11,NA
accessors,#others,2021-08-11,NA
asset-references,#modules,2018-11-28,NA
asset-references,#others,2018-11-28,NA
asset-references,#concurrency,2018-11-28,NA
partial-application,#others,2017-11-17,NA
partial-application,#functions,2017-11-17,NA
decimal,#numbers,2020-02-10,NA
decimal,#others,2020-02-10,NA
strict-using,#others,2024-04-12,NA
strict-using,#types,2024-04-12,NA
array.zip,#arrays,2024-10-09,NA
array.zip,#iterators,2024-10-09,NA
array.zip,#concurrency,2024-10-09,NA
array.zip,#performance,2024-10-09,NA
secure-ecmascript,#security,2016-04-15,NA
secure-ecmascript,#realms,2016-04-15,NA
secure-ecmascript,#others,2016-04-15,NA
virtualize,#security,NA,NA
virtualize,#objects,NA,NA
